Aml_Aloo_avg_rmse	Aml_Bloo_avg_rmse	Aml_Cloo_avg_rmse	Bml_Aloo_avg_rmse	Bml_Bloo_avg_rmse	Bml_Cloo_avg_rmse	Cml_Aloo_avg_rmse	Cml_Bloo_avg_rmse	Cml_Cloo_avg_rmse	Aloo_Bloo_avg_rmse
Exocanthion left_F	5.25402808606414	5.58641890470654	5.75285456658404	5.10739987937935	8.27845249711011	7.53167921844535	2.47598161924244	3.57876039463298	3.33971806430752	47.7334262875474
Exocanthion left_p	0.024524357109441	0.0205266064775424	0.0187894298549384	0.0265428867743176	0.00514180248677109	0.0074821054911351	0.119543998648968	0.062141378819751	0.0713549337605496	1.06101824638303e-09
Exocanthion right_F	15.594353809547	15.7642040487515	15.9330644504063	18.1987052539678	16.063038736039	17.052272850611	16.3928316728321	15.7166156821452	16.1083886366643	28.0099906626946
Exocanthion right_p	0.000167944489925212	0.000155808160468413	0.000144636727940929	5.41524649721114e-05	0.000136602242764234	8.87040149944822e-05	0.000118214700762697	0.000159114443193702	0.000133908356757544	1.03071261608621e-06
Alar curvature left_F	1.11003665573105	1.71929980090301	1.14580649652051	2.09213513973749	1.26598417044752	1.83777746761923	0.0259380785390127	1.08921776292073e-05	0.00374933607172824	59.6244205752696
Alar curvature left_p	0.295245748948793	0.19353430152609	0.287647638548569	0.15196576591019	0.263885806071645	0.17902643395067	0.872457652147109	0.99737493847958	0.95132730354492	2.83209171138427e-11
Alar curvature right_F	0.00241828703295555	0.00834972743584039	0.156223843126788	1.30769162082304	0.112488314428372	0.366875140097452	5.50768969375853e-05	0.64537540814565	0.271150772119853	22.2346405099263
Alar curvature right_p	0.960901540058205	0.92742157962537	0.693709164968455	0.256223415594999	0.738206748508866	0.54642716773752	0.994097124518205	0.424151453889963	0.603999161263507	1.00611139861441e-05
Subalare left_F	0.212853753624898	2.1163456025504	0.750588161665778	0.646453885713683	0.774368180923539	0.184307329185592	0.000308120042220893	0.121881881328076	0.00371844156586572	16.4804501949537
Subalare left_p	0.64579177665854	0.149646484424324	0.388881048959909	0.423766121998407	0.381504925402503	0.668851419351151	0.98603887806613	0.727919572059172	0.951527997136508	0.000113772360607579
Subalare right_F	0.528985206706175	2.4746865817973	1.51024212671581	0.761931864317248	0.747519175430007	0.420199581330788	0.0985183792122904	2.03135706473185	0.0994251452891134	25.6818566486076
Subalare right_p	0.469156962332029	0.119639286482445	0.222704788210549	0.385337113034614	0.389847922973504	0.518693738809025	0.75443193009079	0.157972946840268	0.753341627300135	2.53870773473781e-06
Crista philtri left_F	0.661756445046357	1.58861575376593	0.951841211235004	7.22979877659679	2.71470196818643	4.86665698584748	2.2567039044757	2.54890517474715	1.9772936951621	29.1831887798755
Crista philtri left_p	0.418355126943144	0.211187969139664	0.332192025075501	0.00872271547060401	0.103350024090718	0.0302490430859327	0.136974099967964	0.114313616160936	0.16354818907345	6.59820549863269e-07
Crista philtri right_F	0.0985352873490288	0.0608824508207657	0.110811716522954	2.25879585632133	0.711937044325093	0.672401531725602	0.0871667479219049	0.019704056483835	0.0372366978925873	18.1684693249114
Crista philtri right_p	0.754411549231829	0.805738654330176	0.740092677449847	0.136794729974535	0.401317474073107	0.41465205547236	0.768575318366787	0.888719589474708	0.847472987710319	5.48568481266418e-05
Chelion left_F	0.68869470240755	1.66976604405023	1.14870281123974	0.809638398899188	1.14498159866386	0.944898301253558	0.283532872192778	0.664962138384739	0.466421813505215	4.64532793239397
Chelion left_p	0.409078297123106	0.200010097755825	0.287043518488949	0.370927748754042	0.287819997266408	0.333951257321905	0.595870836881857	0.417234773276198	0.496610972391905	0.034144329016825
Chelion right_F	8.44218515988497	7.92683479481091	8.15539217690749	7.31698767064929	7.45197244629876	7.29891139845409	6.66213764155819	6.02102265226223	6.06946218999134	24.5101283924721
Chelion right_p	0.00473960631814831	0.0061304454750266	0.00546740395091485	0.00834373597218207	0.0077906016364633	0.00842086748058141	0.0116745692005875	0.0163089246846098	0.0158989411470572	4.03036054781345e-06
