LM.Name	Bml_Bloo_rmsex	Bml_Bloo_rmsey	Bml_Bloo_rmsez	Bml_Bloo_avg_rmse
Alar curvature left	0.160545770032242	0.523263132344741	0.608501381513517	0.430770094630166
Alar curvature right	0.165263089975854	0.522077160106687	0.566067561043192	0.417802603708578
Chelion left	1.10608006190228	0.713055264245987	0.607653075106616	0.808929467084962
Chelion right	0.982171956327073	0.659998407828563	0.55393601585501	0.732035460003549
Crista philtri left	0.753737990414272	0.892735196179555	0.451451655123061	0.699308280572296
Crista philtri right	0.755600698880017	1.00045042454658	0.439500711020153	0.73185061148225
Endocanthion left	0.775073740665802	0.543656988526989	0.400156955064238	0.57296256141901
Endocanthion right	1.0359986739899	0.65168142518323	0.502401471865215	0.730027190346116
Exocanthion left	0.908098824306129	0.736166625002308	0.876103372357887	0.840122940555442
Exocanthion right	0.9421096444507	0.65371245913208	0.945693160657886	0.847171754746889
Glabella	0.480557823086614	1.30532836603719	0.558334363909085	0.781406851010963
Labiale inferius	0.456036691795266	0.721645884175086	0.475578171431852	0.551086915800735
Labiale superius	0.588731783866709	0.805535936774408	0.331942083041362	0.57540326789416
Nasion	0.354315113251027	0.973224442791211	0.474766160161949	0.600768572068063
Pogonion	0.431281612301785	1.00091478013926	0.379096695674795	0.603764362705278
Pronasale	0.398714709198712	0.560601985735022	0.282724781515834	0.414013825483189
Subalare left	0.727054755595339	0.434942606595757	0.556978829851119	0.572992064014072
Subalare right	0.652620867938617	0.43286399094669	0.600765682589484	0.56208351382493
Subnasale	0.323931804307934	0.475198070490758	0.261979945082551	0.353703273293748
