LM.Name	Aml_Jml_rmsex	Aml_Jml_rmsey	Aml_Jml_rmsez	Aml_Jml_avg_rmse	Aml_Jloo_rmsex	Aml_Jloo_rmsey	Aml_Jloo_rmsez	Aml_Jloo_avg_rmse	Jml_Aloo_rmsex	Jml_Aloo_rmsey	Jml_Aloo_rmsez	Jml_Aloo_avg_rmse
Alar curvature left	0.172845528455285	0.530569105691057	0.597723577235774	0.433712737127372	0.172690810663126	0.551127203043452	0.592526231904101	0.43878141520356	0.184637935897111	0.637507833925399	0.739300520016193	0.520482096612901
Alar curvature right	0.172357723577236	0.476422764227642	0.745691056910568	0.464823848238482	0.182292704935425	0.486700121028247	0.902089285586833	0.523694037183501	0.206878695218248	0.649970807875177	0.723409079922078	0.526752861005168
Chelion left	0.841219512195122	0.419349593495935	0.513495934959349	0.591355013550135	1.18977006206927	0.759389645762545	0.706569381199572	0.88524302967713	1.37327901321442	0.69662815286443	0.646932181180927	0.90561311575326
Chelion right	0.603739837398374	0.383577235772358	0.278780487804878	0.422032520325203	0.912951800525421	0.716683004925776	0.532514827455445	0.720716544302214	1.16046533746449	0.623333501933887	0.604484987801251	0.796094609066544
Crista philtri left	0.730975609756098	0.648292682926829	0.267235772357723	0.548834688346883	0.922168461413979	1.11515089765197	0.500991444626598	0.846103601230849	0.954765608931006	1.02719384319831	0.503921801097705	0.828627084409007
Crista philtri right	0.924308943089431	0.805772357723578	0.279512195121952	0.669864498644987	0.913574927990062	1.21017799983331	0.505209301309872	0.876320743044414	1.12874133090562	1.20446685739585	0.516815866487357	0.950008018262942
Endocanthion left	0.831788617886179	0.464715447154471	0.553983739837399	0.616829268292683	1.11660750771069	0.678826800325823	0.551313610622373	0.78224930621963	0.98180407757851	0.588709317439125	0.649244181193615	0.739919192070417
Endocanthion right	0.682845528455284	0.380243902439026	0.467560975609757	0.510216802168022	1.18541373274604	0.801416666835234	0.715877720084564	0.900902706555281	1.13379329078662	0.556449566348996	0.488082891108607	0.726108582748074
Exocanthion left	0.514065040650406	0.382520325203252	0.353333333333333	0.416639566395663	0.918387542324166	0.823830330803489	0.885064918327854	0.87576093048517	0.964840166221233	0.720760218776616	0.914577901380632	0.866726095459494
Exocanthion right	0.498373983739838	0.33569105691057	0.377317073170733	0.40379403794038	0.952602729982235	0.670962098367005	0.927361899973899	0.850308909441047	0.976020238157344	0.688975591193814	0.969284912965183	0.878093580772114
Glabella	0.590487804878049	0.977642276422763	0.35869918699187	0.642276422764227	0.640077294647345	1.41717619926624	0.647722991437679	0.90165882845042	0.663140204257895	1.55790014238072	0.569614069253535	0.930218138630718
Labiale inferius	0.757317073170732	1.19756097560976	0.530162601626016	0.828346883468835	0.764149505835167	1.45158386319724	0.721260649320553	0.978998006117653	0.793222639279971	1.2608438449565	0.571803265123863	0.875289916453444
Labiale superius	0.530569105691057	0.641138211382113	0.179512195121951	0.45040650406504	0.69878348877087	0.984105604846965	0.429251089035461	0.704046727551099	0.731336680954937	1.0140352002066	0.333681950507466	0.693017943889669
Nasion	0.550325203252033	1.15268292682927	0.392032520325202	0.698346883468834	0.537020467438555	1.26061694960288	0.53957062495792	0.779069347333119	0.553410651058578	1.32213756086245	0.556387392268934	0.810645201396654
Pogonion	1.00544715447155	1.07089430894309	0.463577235772359	0.846639566395665	0.919513090929651	1.10326250793824	0.477606388603741	0.833460662490544	0.96828056693002	1.20430967255971	0.42237517134373	0.864988470277819
Pronasale	0.40959349593496	0.696829268292683	0.303577235772357	0.47	0.521756529493187	0.803348783243671	0.419877906474085	0.581661073070315	0.506275746485179	0.74073985373513	0.26895485751918	0.505323485913163
Subalare left	0.673739837398374	0.361219512195122	0.664227642276422	0.566395663956639	0.873378221800159	0.533553249001844	0.617378072121962	0.674769847641322	0.890610959169048	0.460302537246065	0.82123870897038	0.724050735128498
Subalare right	0.704146341463415	0.445040650406504	0.667967479674796	0.605718157181572	0.923605661318563	0.532643141460507	0.751299797812415	0.735849533530495	0.744048862659293	0.520086559782874	0.748707131387679	0.670947517943282
Subnasale	0.249756097560975	0.782032520325203	0.444471544715446	0.492086720867208	0.346740555415086	0.670114634158521	0.343879782411557	0.453578323995055	0.353547810873327	0.757075182850558	0.404490190837776	0.50503772818722
